"","CL_prox_m","DATE","Month","Day","Year","TagSite","Species","TL","RewardTag1","RewardTag2","Radio_Tag_","Code","Combined","Group_","Notes","Lat","Long","A_D","Ramp","Notes1","DaysPostRe","DistFromRa","geometry"
"81",12618.2960770167,2023-05-24,5,24,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",33.93612,-85.98653,"A","CL",NA,NA,11984.701712,c(-85.98653, 33.9361200000001)
"82",13236.2646666029,2023-06-06,6,6,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",33.93747,-85.99248,"A","CL",NA,NA,12554.588653,c(-85.9924799999999, 33.9374700000001)
"83",12592.4089890167,2023-06-22,6,22,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",33.93612,-85.98627,"A","CL",NA,NA,11962.339064,c(-85.98627, 33.9361200000001)
"84",12631.6775429741,2023-07-07,7,7,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",33.93651,-85.98646,"A","CL",NA,NA,11994.755243,c(-85.98646, 33.9365100000001)
"85",12601.6349774623,2023-07-17,7,17,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",33.93645,-85.98618,"A","CL",NA,NA,11968.205801,c(-85.98618, 33.93645)
"86",155.887067589344,2023-08-04,8,4,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED, huge move to CL, Caught again?",34.01053,-85.9985,"A","CL",NA,"Caught again?",139.805553,c(-85.9985, 34.0105300000001)
"87",708.686494818389,2023-08-27,8,27,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",34.00479,-86.00075,"A","CL",NA,NA,681.431501,c(-86.00075, 34.0047900000001)
"88",701.14990679285,2023-09-11,9,11,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",34.00486,-86.00077,"A","CL",NA,NA,675.323499,c(-86.00077, 34.0048600000001)
"89",704.249595898372,2023-09-25,9,25,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,34.00484,-86.00075,"A","CL",NA,NA,0,c(-86.00075, 34.0048400000001)
"90",1014.46899661288,2023-10-09,10,9,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,34.00219,-86.00128,"A","CL",NA,NA,0,c(-86.00128, 34.00219)
"91",1022.00551719172,2023-10-23,10,23,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,34.0021,-86.00124,"A","CL",NA,NA,0,c(-86.0012399999999, 34.0021)
"92",714.460603554313,2023-11-03,11,3,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,34.00475,-86.00078,"A","CL",NA,NA,0,c(-86.00078, 34.0047500000001)
"93",1024.68006960295,2023-11-17,11,17,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,34.00213,-86.00129,"A","CL",NA,NA,0,c(-86.00129, 34.0021300000001)
"94",305.354005296295,2023-12-04,12,4,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,34.01264,-85.99642,"A","CL",NA,NA,0,c(-85.9964199999999, 34.01264)
"95",12396.2778205329,2023-12-18,12,18,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,33.93448,-85.98507,"A","CL",NA,NA,0,c(-85.98507, 33.9344800000001)
"96",11260.746688395,2024-01-04,1,4,2024,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,33.9326,-85.97334,"A","CL",NA,NA,0,c(-85.97334, 33.9326)
"97",12542.9797075442,2024-01-26,1,26,2024,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,33.93673,-85.98497,"A","CL",NA,NA,0,c(-85.98497, 33.9367300000001)
"98",11491.6610787345,2024-02-09,2,9,2024,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,33.93262,-85.97586,"A","CL",NA,NA,0,c(-85.97586, 33.93262)
"99",3742.31576817724,2024-02-23,2,23,2024,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U",NA,33.97769,-85.99869,"A","CL",NA,NA,0,c(-85.99869, 33.9776900000001)
"100",0,2023-04-01,4,1,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"101",23.0958950381522,2023-04-13,4,13,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.01024833,-85.99723833,"A","CL",NA,NA,21.950926,c(-85.99723833, 34.01024833)
"102",570.048146372223,2023-04-30,4,30,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00563,-85.99939,"A","CL",NA,NA,545.497889,c(-85.9993899999999, 34.0056300000001)
