"","DaysFromLastLoc","MetersFromLastLocation","DaysSinceRel","CL_prox_m","Date","TagSite","Species","TL","RewardTag1","Combined","Radio.Tag.Frequency","Ramp","WeeksSinceRel","WeeksFromLastLoc","MetersPerWeek","A.D","GroupMovement"
"118",14,59.9472929044596,329,2457.25079069769,2024-02-24,"47","LMB",385,16,"150.222I-19",150.222,"CL",47,2,29.9736464522298,"A","A"
"119",13,47.2725762713544,342,2423.30995723809,2024-03-08,"47","LMB",385,16,"150.222I-19",150.222,"CL",48.8571428571429,1.85714285714286,25.4544641461139,"A","A"
"120",21,269.051714304314,363,2627.15763094446,2024-03-29,"47","LMB",385,16,"150.222I-19",150.222,"CL",51.8571428571429,3,89.6839047681047,"A","A"
"121",22,37.0722995904917,385,2657.1555714362,2024-04-20,"47","LMB",385,16,"150.222I-19",150.222,"CL",55,3.14285714285714,11.7957316878837,"A","A"
"122",0,0,0,0,2023-03-26,"199","ALB",452,1754,"150.222L-98",150.222,"CL",0,0,NA,"A","A"
"123",18,825.854390588675,18,825.854390588675,2023-04-13,"199","ALB",452,1754,"150.222L-98",150.222,"CL",2.57142857142857,2.57142857142857,321.16559634004,"A","A"
"124",17,38.9754577508382,35,786.879098461912,2023-04-30,"199","ALB",452,1754,"150.222L-98",150.222,"CL",5,2.42857142857143,16.048717897404,"A","A"
"125",9,52.9238730575512,44,739.972704834766,2023-05-09,"199","ALB",452,1754,"150.222L-98",150.222,"CL",6.28571428571429,1.28571428571429,41.1630123780954,"A","A"
"126",16,1203.83139160326,60,463.861441761688,2023-05-25,"199","ALB",452,1754,"150.222L-98",150.222,"CL",8.57142857142857,2.28571428571429,526.676233826426,"A","A"
"127",27,32.3889336380982,87,443.850802149323,2023-06-21,"199","ALB",452,1754,"150.222L-98",150.222,"CL",12.4285714285714,3.85714285714286,8.39713094321065,"A","A"
"128",16,12.6437179500098,103,451.18952733068,2023-07-07,"199","ALB",452,1754,"150.222L-98",150.222,"CL",14.7142857142857,2.28571428571429,5.53162660312927,"A","A"
"129",11,478.219489538214,114,842.764379839521,2023-07-18,"199","ALB",452,1754,"150.222L-98",150.222,"CL",16.2857142857143,1.57142857142857,304.3214933425,"A","A"
"130",17,6.65535996217917,131,839.645761805026,2023-08-04,"199","ALB",452,1754,"150.222L-98",150.222,"CL",18.7142857142857,2.42857142857143,2.74044233736789,"A","A"
"131",23,556.683650225827,154,380.21667741557,2023-08-27,"199","ALB",452,1754,"150.222L-98",150.222,"CL",22,3.28571428571429,169.425458764382,"A","A"
"132",15,496.059213253632,169,779.020820909468,2023-09-11,"199","ALB",452,1754,"150.222L-98",150.222,"CL",24.1428571428571,2.14285714285714,231.494299518362,"A","A"
"133",14,698.904712907662,183,143.773567783792,2023-09-25,"199","ALB",452,1754,"150.222L-98",150.222,"CL",26.1428571428571,2,349.452356453831,"A","A"
"134",14,11.4320828607977,197,147.420583231837,2023-10-09,"199","ALB",452,1754,"150.222L-98",150.222,"CL",28.1428571428571,2,5.71604143039887,"D","A"
"135",0,0,0,0,2023-04-08,"21","LMB",439,4498,"150.333I-4",150.333,"CL",0,0,NA,"A","A"
"136",5,96.547521007267,5,96.547521007267,2023-04-13,"21","LMB",439,4498,"150.333I-4",150.333,"CL",0.714285714285714,0.714285714285714,135.166529410174,"A","A"
"137",18,8751.89512969845,23,8841.37029701945,2023-05-01,"21","LMB",439,4498,"150.333I-4",150.333,"CL",3.28571428571429,2.57142857142857,3403.51477266051,"A","A"
"138",8,59.754830422604,31,8784.73495289182,2023-05-09,"21","LMB",439,4498,"150.333I-4",150.333,"CL",4.42857142857143,1.14285714285714,52.2854766197785,"A","A"
"139",16,100.458361676541,47,8872.71825177846,2023-05-25,"21","LMB",439,4498,"150.333I-4",150.333,"CL",6.71428571428571,2.28571428571429,43.9505332334866,"A","A"
"140",12,89.7208283020498,59,8801.70942951446,2023-06-06,"21","LMB",439,4498,"150.333I-4",150.333,"CL",8.42857142857143,1.71428571428571,52.3371498428624,"A","A"
"141",15,128.170589020316,74,8917.40497715726,2023-06-21,"21","LMB",439,4498,"150.333I-4",150.333,"CL",10.5714285714286,2.14285714285714,59.8129415428141,"A","A"
"142",16,9121.9127131006,90,204.50794675641,2023-07-07,"21","LMB",439,4498,"150.333I-4",150.333,"CL",12.8571428571429,2.28571428571429,3990.83681198151,"D","A"
"143",0,0,0,0,2023-03-18,"180","ALB",415,88,"150.333L-91",150.333,"CL",0,0,NA,"A","A"
"144",26,4095.35390298061,26,4095.35390298061,2023-04-13,"180","ALB",415,88,"150.333L-91",150.333,"CL",3.71428571428571,3.71428571428571,1102.5952815717,"A","A"
"145",18,237.012414240748,44,4291.68068816267,2023-05-01,"180","ALB",415,88,"150.333L-91",150.333,"CL",6.28571428571429,2.57142857142857,92.1714944269574,"A","A"
"146",8,419.779993217391,52,3877.21234067807,2023-05-09,"180","ALB",415,88,"150.333L-91",150.333,"CL",7.42857142857143,1.14285714285714,367.307494065217,"A","A"
"147",16,369.018790934417,68,4237.38241448015,2023-05-25,"180","ALB",415,88,"150.333L-91",150.333,"CL",9.71428571428571,2.28571428571429,161.445721033808,"A","A"
"148",12,123.010086770417,80,4132.06179398668,2023-06-06,"180","ALB",415,88,"150.333L-91",150.333,"CL",11.4285714285714,1.71428571428571,71.7558839494099,"A","A"
"149",15,183.992475316059,95,4303.67071047476,2023-06-21,"180","ALB",415,88,"150.333L-91",150.333,"CL",13.5714285714286,2.14285714285714,85.863155147494,"A","A"
"150",16,296.435420221003,111,4044.38392999278,2023-07-07,"180","ALB",415,88,"150.333L-91",150.333,"CL",15.8571428571429,2.28571428571429,129.690496346689,"A","A"
"151",11,371.820398771033,122,4272.92790535219,2023-07-18,"180","ALB",415,88,"150.333L-91",150.333,"CL",17.4285714285714,1.57142857142857,236.612981036112,"A","A"
"152",17,516.640797237194,139,3848.26680304691,2023-08-04,"180","ALB",415,88,"150.333L-91",150.333,"CL",19.8571428571429,2.42857142857143,212.734445921197,"A","A"
"153",23,98.9300906661138,162,3749.3387227608,2023-08-27,"180","ALB",415,88,"150.333L-91",150.333,"CL",23.1428571428571,3.28571428571429,30.1091580288172,"A","A"
"154",15,270.75174755681,177,4020.08686910192,2023-09-11,"180","ALB",415,88,"150.333L-91",150.333,"CL",25.2857142857143,2.14285714285714,126.350815526511,"A","A"
"155",14,29.3147699203879,191,4049.40121764981,2023-09-25,"180","ALB",415,88,"150.333L-91",150.333,"CL",27.2857142857143,2,14.6573849601939,"A","A"
"156",14,15.4205496103941,205,4051.09087901504,2023-10-09,"180","ALB",415,88,"150.333L-91",150.333,"CL",29.2857142857143,2,7.71027480519704,"A","A"
"157",14,34.9665489366734,219,4016.12463419308,2023-10-23,"180","ALB",415,88,"150.333L-91",150.333,"CL",31.2857142857143,2,17.4832744683367,"A","A"
"158",11,222.972532754423,230,4226.71303905974,2023-11-03,"180","ALB",415,88,"150.333L-91",150.333,"CL",32.8571428571429,1.57142857142857,141.891611752814,"A","A"
"159",13,375.254122357034,243,3853.23282122826,2023-11-16,"180","ALB",415,88,"150.333L-91",150.333,"CL",34.7142857142857,1.85714285714286,202.059912038403,"A","A"
"160",33,421.338549863849,276,4271.0283081303,2023-12-19,"180","ALB",415,88,"150.333L-91",150.333,"CL",39.4285714285714,4.71428571428571,89.3748439105135,"A","A"
"161",16,485.726252190846,292,3785.30786801382,2024-01-04,"180","ALB",415,88,"150.333L-91",150.333,"CL",41.7142857142857,2.28571428571429,212.505235333495,"A","A"
"162",22,533.052642520542,314,4318.35425579116,2024-01-26,"180","ALB",415,88,"150.333L-91",150.333,"CL",44.8571428571429,3.14285714285714,169.607658983809,"A","A"
